date,tournament,surface,Round,winner,winner_rank_at_match,loser,loser_rank_at_match,score,source_player
16-Jun-2025,Halle,Grass,R16,Tomas Martin Etcheverry,63.0,Andrey Rublev,14,6-3 6-7(4) 7-6(6),Andrey Rublev
16-Jun-2025,Halle,Grass,R32,Andrey Rublev,14,Sebastian Ofner,122.0,6-3 6-4,Andrey Rublev
26-May-2025,Roland Garros,Clay,R16,Jannik Sinner,1.0,Andrey Rublev,15,6-1 6-3 6-4,Andrey Rublev
26-May-2025,Roland Garros,Clay,R32,Andrey Rublev,15,Arthur Fils,14.0,W/O,Andrey Rublev
26-May-2025,Roland Garros,Clay,R64,Andrey Rublev,15,Adam Walton,91.0,7-6(1) 6-1 7-6(5),Andrey Rublev
26-May-2025,Roland Garros,Clay,R128,Andrey Rublev,15,Lloyd Harris,227.0,6-4 4-6 6-3 6-1,Andrey Rublev
18-May-2025,Hamburg,Clay,F,Flavio Cobolli,35.0,Andrey Rublev,17,6-2 6-4,Andrey Rublev
18-May-2025,Hamburg,Clay,SF,Andrey Rublev,17,Felix Auger Aliassime,30.0,6-1 6-4,Andrey Rublev
18-May-2025,Hamburg,Clay,QF,Andrey Rublev,17,Luciano Darderi,45.0,6-1 3-6 6-3,Andrey Rublev
18-May-2025,Hamburg,Clay,R16,Andrey Rublev,17,Justin Engel,333.0,6-3 7-5,Andrey Rublev
18-May-2025,Hamburg,Clay,R32,Andrey Rublev,17,Damir Dzumhur,69.0,6-4 6-3,Andrey Rublev
7-May-2025,Rome Masters,Clay,R64,Fabian Marozsan,61.0,Andrey Rublev,17,7-5 4-6 6-3,Andrey Rublev
23-Apr-2025,Madrid Masters,Clay,R32,Alexander Bublik,75.0,Andrey Rublev,8,6-4 0-6 6-4,Andrey Rublev
23-Apr-2025,Madrid Masters,Clay,R64,Andrey Rublev,8,Gael Monfils,42.0,W/O,Andrey Rublev
14-Apr-2025,Barcelona,Clay,R16,Alejandro Davidovich Fokina,30.0,Andrey Rublev,8,7-5 6-4,Andrey Rublev
14-Apr-2025,Barcelona,Clay,R32,Andrey Rublev,8,Jesper De Jong,94.0,6-1 6-3,Andrey Rublev
5-Apr-2026,Monte-Carlo,Clay,R32,Alexander Blockx,91.0,Flavio Cobolli,16,6-3 6-3,Flavio Cobolli
5-Apr-2026,Monte-Carlo,Clay,R64,Flavio Cobolli,16,Francisco Comesana,99.0,7-5 2-6 6-3,Flavio Cobolli
18-Mar-2026,Miami Masters,Hard,R64,Raphael Collignon,72.0,Flavio Cobolli,14,7-5 6-3,Flavio Cobolli
4-Mar-2026,Indian Wells Masters,Hard,R32,Frances Tiafoe,22.0,Flavio Cobolli,15,6-1 6-2,Flavio Cobolli
4-Mar-2026,Indian Wells Masters,Hard,R64,Flavio Cobolli,15,Miomir Kecmanovic,58.0,3-6 6-3 6-4,Flavio Cobolli
23-Feb-2026,Acapulco,Hard,F,Flavio Cobolli,20,Frances Tiafoe,28.0,7-6(4) 6-4,Flavio Cobolli
23-Feb-2026,Acapulco,Hard,SF,Flavio Cobolli,20,Miomir Kecmanovic,84.0,7-6(5) 3-6 6-4,Flavio Cobolli
23-Feb-2026,Acapulco,Hard,QF,Flavio Cobolli,20,Yibing Wu,142.0,7-6(4) 6-1,Flavio Cobolli
23-Feb-2026,Acapulco,Hard,R16,Flavio Cobolli,20,Dalibor Svrcina,123.0,6-4 6-4,Flavio Cobolli
23-Feb-2026,Acapulco,Hard,R32,Flavio Cobolli,20,Rodrigo Pacheco Mendez,218.0,7-6(3) 7-6(3),Flavio Cobolli
16-Feb-2026,Delray Beach,Hard,SF,Sebastian Korda,50.0,Flavio Cobolli,20,7-6(1) 6-1,Flavio Cobolli
16-Feb-2026,Delray Beach,Hard,QF,Flavio Cobolli,20,Coleman Wong,137.0,7-5 6-7(7) 6-2,Flavio Cobolli
16-Feb-2026,Delray Beach,Hard,R16,Flavio Cobolli,20,Terence Atmane,66.0,7-5 6-4,Flavio Cobolli
9-Feb-2026,Dallas,Hard,R32,Jack Pinnington Jones,181.0,Flavio Cobolli,20,6-2 6-2,Flavio Cobolli
2-Feb-2026,Montpellier,Hard,R16,Luca Nardi,106.0,Flavio Cobolli,20,6-2 6-3,Flavio Cobolli
19-Jan-2026,Australian Open,Hard,R128,Arthur Fery,186.0,Flavio Cobolli,22,7-6(1) 6-4 6-1,Flavio Cobolli
5-Jan-2026,United Cup,Hard,RR,Arthur Rinderknech,27.0,Flavio Cobolli,22,6-7(4) 7-6(5) 7-5,Flavio Cobolli
5-Jan-2026,United Cup,Hard,RR,Flavio Cobolli,22,Stan Wawrinka,156.0,6-4 6-7(2) 7-6(4),Flavio Cobolli
23-Nov-2025,Davis Cup Finals F: ITA vs ESP,Hard,RR,Flavio Cobolli,22,Jaume Munar,36.0,1-6 7-6(5) 7-5,Flavio Cobolli
21-Nov-2025,Davis Cup Finals SF: ITA vs BEL,Hard,RR,Flavio Cobolli,22,Zizou Bergs,43.0,6-3 6-7(5) 7-6(15),Flavio Cobolli
19-Nov-2025,Davis Cup Finals QF: ITA vs AUT,Hard,RR,Flavio Cobolli,22,Filip Misolic,79.0,6-1 6-3,Flavio Cobolli
2-Nov-2025,Metz,Hard,R16,Lorenzo Sonego,42.0,Flavio Cobolli,22,2-6 6-3 7-5,Flavio Cobolli
27-Oct-2025,Paris Masters,Hard,R32,Ben Shelton,7.0,Flavio Cobolli,23,7-6(4) 6-3,Flavio Cobolli
27-Oct-2025,Paris Masters,Hard,R64,Flavio Cobolli,23,Tomas Machac,34.0,6-1 6-4,Flavio Cobolli
20-Oct-2025,Vienna,Hard,R16,Jannik Sinner,2.0,Flavio Cobolli,22,6-2 7-6(4),Flavio Cobolli
20-Oct-2025,Vienna,Hard,R32,Flavio Cobolli,22,Tomas Machac,31.0,7-6(6) 6-2,Flavio Cobolli
13-Oct-2025,Almaty,Hard,QF,James Duckworth,138.0,Flavio Cobolli,22,6-3 6-2,Flavio Cobolli
13-Oct-2025,Almaty,Hard,R16,Flavio Cobolli,22,Rinky Hijikata,114.0,6-4 7-5,Flavio Cobolli
1-Oct-2025,Shanghai Masters,Hard,R64,Jaume Munar,41.0,Flavio Cobolli,22,7-5 6-1,Flavio Cobolli
25-Sep-2025,Beijing,Hard,R16,Learner Tien,52.0,Flavio Cobolli,25,6-3 6-2,Flavio Cobolli
25-Sep-2025,Beijing,Hard,R32,Flavio Cobolli,25,Andrey Rublev,14.0,7-6(3) 6-3,Flavio Cobolli
19-Sep-2025,Laver Cup,Hard,RR,Joao Fonseca,42.0,Flavio Cobolli,25,6-4 6-3,Flavio Cobolli
25-Aug-2025,US Open,Hard,R32,Lorenzo Musetti,10.0,Flavio Cobolli,26,6-3 6-2 2-0 RET,Flavio Cobolli
25-Aug-2025,US Open,Hard,R64,Flavio Cobolli,26,Jenson Brooksby,92.0,5-7 6-3 6-4 2-6 7-6(3),Flavio Cobolli
25-Aug-2025,US Open,Hard,R128,Flavio Cobolli,26,Francesco Passaro,120.0,7-5 4-6 6-4 3-6 6-3,Flavio Cobolli
7-Aug-2025,Cincinnati Masters,Hard,R64,Terence Atmane,136.0,Flavio Cobolli,22,6-4 3-6 7-6(5),Flavio Cobolli
27-Jul-2025,Canada Masters,Hard,R16,Ben Shelton,7.0,Flavio Cobolli,17,6-4 4-6 7-6(1),Flavio Cobolli
27-Jul-2025,Canada Masters,Hard,R32,Flavio Cobolli,17,Fabian Marozsan,56.0,6-2 4-6 6-3,Flavio Cobolli
27-Jul-2025,Canada Masters,Hard,R64,Flavio Cobolli,17,Alexis Galarneau,193.0,6-4 5-7 6-4,Flavio Cobolli
21-Jul-2025,Washington,Hard,R16,Frances Tiafoe,11.0,Flavio Cobolli,18,6-1 6-4,Flavio Cobolli
21-Jul-2025,Washington,Hard,R32,Flavio Cobolli,18,Yoshihito Nishioka,89.0,6-2 7-6(3),Flavio Cobolli
30-Jun-2025,Wimbledon,Grass,QF,Novak Djokovic,6.0,Flavio Cobolli,24,6-7(6) 6-2 7-5 6-4,Flavio Cobolli
30-Jun-2025,Wimbledon,Grass,R16,Flavio Cobolli,24,Marin Cilic,83.0,6-4 6-4 6-7(4) 7-6(3),Flavio Cobolli
30-Jun-2025,Wimbledon,Grass,R32,Flavio Cobolli,24,Jakub Mensik,17.0,6-2 6-4 6-2,Flavio Cobolli
30-Jun-2025,Wimbledon,Grass,R64,Flavio Cobolli,24,Jack Pinnington Jones,281.0,6-1 7-6(6) 6-2,Flavio Cobolli
30-Jun-2025,Wimbledon,Grass,R128,Flavio Cobolli,24,Beibit Zhukayev,247.0,6-3 7-6(7) 6-1,Flavio Cobolli
23-Jun-2025,Eastbourne,Grass,R32,Jacob Fearnley,51.0,Flavio Cobolli,24,6-2 6-2,Flavio Cobolli
16-Jun-2025,Halle,Grass,QF,Alexander Zverev,3.0,Flavio Cobolli,24,6-4 7-6(6),Flavio Cobolli
16-Jun-2025,Halle,Grass,R16,Flavio Cobolli,24,Denis Shapovalov,31.0,7-6(2) 4-6 7-6(5),Flavio Cobolli
16-Jun-2025,Halle,Grass,R32,Flavio Cobolli,24,Joao Fonseca,57.0,5-7 7-6(3) 7-6(8),Flavio Cobolli
26-May-2025,Roland Garros,Clay,R32,Alexander Zverev,3.0,Flavio Cobolli,26,6-2 7-6(4) 6-1,Flavio Cobolli
26-May-2025,Roland Garros,Clay,R64,Flavio Cobolli,26,Matteo Arnaldi,36.0,6-3 6-3 6-7(6) 6-1,Flavio Cobolli
26-May-2025,Roland Garros,Clay,R128,Flavio Cobolli,26,Marin Cilic,104.0,6-2 6-1 6-3,Flavio Cobolli
18-May-2025,Hamburg,Clay,F,Flavio Cobolli,35,Andrey Rublev,17.0,6-2 6-4,Flavio Cobolli
18-May-2025,Hamburg,Clay,SF,Flavio Cobolli,35,Tomas Martin Etcheverry,55.0,2-6 7-5 6-4,Flavio Cobolli
18-May-2025,Hamburg,Clay,QF,Flavio Cobolli,35,Roberto Bautista Agut,57.0,7-6(4) 6-0,Flavio Cobolli
18-May-2025,Hamburg,Clay,R16,Flavio Cobolli,35,Alejandro Davidovich Fokina,26.0,6-4 7-5,Flavio Cobolli
18-May-2025,Hamburg,Clay,R32,Flavio Cobolli,35,Vitaliy Sachko,235.0,5-7 6-2 6-2,Flavio Cobolli
13-May-2025,Turin CH,Clay,QF,Daniel Altmaier,71.0,Flavio Cobolli,34,6-3 7-5,Flavio Cobolli
13-May-2025,Turin CH,Clay,R16,Flavio Cobolli,34,(Alt)Andrea Collarini,207.0,7-6(4) 7-6(7),Flavio Cobolli
7-May-2025,Rome Masters,Clay,R128,Luca Nardi,95.0,Flavio Cobolli,34,6-3 6-4,Flavio Cobolli
23-Apr-2025,Madrid Masters,Clay,R32,Brandon Nakashima,32.0,Flavio Cobolli,36,7-5 6-3,Flavio Cobolli
23-Apr-2025,Madrid Masters,Clay,R64,Flavio Cobolli,36,Holger Rune,9.0,6-2 0-0 RET,Flavio Cobolli
23-Apr-2025,Madrid Masters,Clay,R128,Flavio Cobolli,36,Fabian Marozsan,58.0,7-6(4) 7-5,Flavio Cobolli
14-Apr-2025,Munich,Clay,R32,Alexander Shevchenko,104.0,Flavio Cobolli,36,6-7(2) 6-3 6-4,Flavio Cobolli
18-Mar-2026,Miami Masters,Hard,R64,Quentin Halys,111.0,Davidovich Fokina,17,7-6(8) 6-4,Alejandro Davidovich Fokina
4-Mar-2026,Indian Wells Masters,Hard,R16,Learner Tien,27.0,Davidovich Fokina,19,4-6 6-1 7-6(4),Alejandro Davidovich Fokina
4-Mar-2026,Indian Wells Masters,Hard,R32,Davidovich Fokina,19,Jakub Mensik,12.0,6-2 4-6 6-2,Alejandro Davidovich Fokina
4-Mar-2026,Indian Wells Masters,Hard,R64,Davidovich Fokina,19,Zachary Svajda,99.0,7-6(0) 6-2,Alejandro Davidovich Fokina
23-Feb-2026,Acapulco,Hard,R16,Mattia Bellucci,110.0,Davidovich Fokina,14,6-3 6-3,Alejandro Davidovich Fokina
23-Feb-2026,Acapulco,Hard,R32,Davidovich Fokina,14,Daniel Altmaier,53.0,7-5 6-3,Alejandro Davidovich Fokina
9-Feb-2026,Dallas,Hard,QF,Denis Shapovalov,40.0,Davidovich Fokina,14,5-7 6-4 6-3,Alejandro Davidovich Fokina
9-Feb-2026,Dallas,Hard,R16,Davidovich Fokina,14,Alex Michelsen,41.0,6-4 6-4,Alejandro Davidovich Fokina
9-Feb-2026,Dallas,Hard,R32,Davidovich Fokina,14,Zachary Svajda,110.0,6-4 7-6(1),Alejandro Davidovich Fokina
19-Jan-2026,Australian Open,Hard,R32,Tommy Paul,20.0,Davidovich Fokina,14,6-1 6-1 0-0 RET,Alejandro Davidovich Fokina
19-Jan-2026,Australian Open,Hard,R64,Davidovich Fokina,14,Reilly Opelka,63.0,6-3 7-6(3) 5-7 4-6 6-4,Alejandro Davidovich Fokina
19-Jan-2026,Australian Open,Hard,R128,Davidovich Fokina,14,Filip Misolic,84.0,6-2 6-3 6-3,Alejandro Davidovich Fokina
12-Jan-2026,Adelaide,Hard,SF,Ugo Humbert,36.0,Davidovich Fokina,15,6-3 5-7 7-6(4),Alejandro Davidovich Fokina
12-Jan-2026,Adelaide,Hard,QF,Davidovich Fokina,15,Valentin Vacherot,32.0,7-6(4) 6-2,Alejandro Davidovich Fokina
12-Jan-2026,Adelaide,Hard,R16,Davidovich Fokina,15,Rinky Hijikata,115.0,6-3 6-2,Alejandro Davidovich Fokina
4-Jan-2026,Brisbane,Hard,R32,Brandon Nakashima,33.0,Davidovich Fokina,14,7-6(4) 6-4,Alejandro Davidovich Fokina
27-Oct-2025,Paris Masters,Hard,R16,Alexander Zverev,3.0,Davidovich Fokina,15,6-2 6-4,Alejandro Davidovich Fokina
27-Oct-2025,Paris Masters,Hard,R32,Davidovich Fokina,15,Arthur Cazaux,62.0,7-6(5) 6-4,Alejandro Davidovich Fokina
27-Oct-2025,Paris Masters,Hard,R64,Davidovich Fokina,15,Valentin Royer,59.0,4-6 6-1 6-4,Alejandro Davidovich Fokina
20-Oct-2025,Basel,Hard,F,Joao Fonseca,46.0,Davidovich Fokina,18,6-3 6-4,Alejandro Davidovich Fokina
20-Oct-2025,Basel,Hard,SF,Davidovich Fokina,18,Ugo Humbert,24.0,7-6(4) 3-1 RET,Alejandro Davidovich Fokina
20-Oct-2025,Basel,Hard,QF,Davidovich Fokina,18,Casper Ruud,11.0,7-6(1) 0-0 RET,Alejandro Davidovich Fokina
20-Oct-2025,Basel,Hard,R16,Davidovich Fokina,18,Jenson Brooksby,55.0,6-7(6) 6-4 7-5,Alejandro Davidovich Fokina
20-Oct-2025,Basel,Hard,R32,Davidovich Fokina,18,Lorenzo Sonego,45.0,7-6(2) 6-4,Alejandro Davidovich Fokina
13-Oct-2025,Brussels,Hard,QF,Raphael Collignon,90.0,Davidovich Fokina,20,7-6(5) 6-1,Alejandro Davidovich Fokina
13-Oct-2025,Brussels,Hard,R16,Davidovich Fokina,20,Marcos Giron,54.0,6-7(5) 6-1 6-4,Alejandro Davidovich Fokina
1-Oct-2025,Shanghai Masters,Hard,R32,Daniil Medvedev,18.0,Davidovich Fokina,20,6-3 7-6(5),Alejandro Davidovich Fokina
1-Oct-2025,Shanghai Masters,Hard,R64,Davidovich Fokina,20,Matteo Arnaldi,71.0,6-4 6-4,Alejandro Davidovich Fokina
25-Sep-2025,Beijing,Hard,R16,Daniil Medvedev,18.0,Davidovich Fokina,20,6-3 6-3,Alejandro Davidovich Fokina
25-Sep-2025,Beijing,Hard,R32,Davidovich Fokina,20,Camilo Ugo Carabelli,43.0,6-1 6-3,Alejandro Davidovich Fokina
25-Aug-2025,US Open,Hard,R64,Arthur Rinderknech,82.0,Davidovich Fokina,18,6-4 3-6 2-6 6-2 6-3,Alejandro Davidovich Fokina
25-Aug-2025,US Open,Hard,R128,Davidovich Fokina,18,Alexander Shevchenko,91.0,6-1 6-1 6-2,Alejandro Davidovich Fokina
7-Aug-2025,Cincinnati Masters,Hard,R64,Joao Fonseca,52.0,Davidovich Fokina,18,6-7(4) 5-4 RET,Alejandro Davidovich Fokina
27-Jul-2025,Canada Masters,Hard,R16,Andrey Rublev,11.0,Davidovich Fokina,19,6-7(3) 7-6(2) 3-0 RET,Alejandro Davidovich Fokina
27-Jul-2025,Canada Masters,Hard,R32,Davidovich Fokina,19,Jakub Mensik,18.0,6-2 6-4,Alejandro Davidovich Fokina
27-Jul-2025,Canada Masters,Hard,R64,Davidovich Fokina,19,Corentin Moutet,46.0,6-4 6-3,Alejandro Davidovich Fokina
21-Jul-2025,Washington,Hard,F,Alex De Minaur,13.0,Davidovich Fokina,26,5-7 6-1 7-6(3),Alejandro Davidovich Fokina
21-Jul-2025,Washington,Hard,SF,Davidovich Fokina,26,Ben Shelton,8.0,6-2 7-5,Alejandro Davidovich Fokina
21-Jul-2025,Washington,Hard,QF,Davidovich Fokina,26,Taylor Fritz,4.0,7-6(3) 3-6 7-5,Alejandro Davidovich Fokina
21-Jul-2025,Washington,Hard,R16,Davidovich Fokina,26,Learner Tien,67.0,6-2 6-2,Alejandro Davidovich Fokina
21-Jul-2025,Washington,Hard,R32,Davidovich Fokina,26,Jaume Munar,50.0,6-4 6-2,Alejandro Davidovich Fokina
14-Jul-2025,Los Cabos,Hard,R16,James Duckworth,113.0,Davidovich Fokina,26,6-3 6-4,Alejandro Davidovich Fokina
30-Jun-2025,Wimbledon,Grass,R32,Taylor Fritz,5.0,Davidovich Fokina,27,6-4 6-3 6-7(5) 6-1,Alejandro Davidovich Fokina
30-Jun-2025,Wimbledon,Grass,R64,Davidovich Fokina,27,Botic Van De Zandschulp,92.0,6-1 4-6 6-3 7-6(5),Alejandro Davidovich Fokina
30-Jun-2025,Wimbledon,Grass,R128,Davidovich Fokina,27,Brandon Holt,99.0,6-2 6-4 7-5,Alejandro Davidovich Fokina
23-Jun-2025,Eastbourne,Grass,SF,Taylor Fritz,5.0,Davidovich Fokina,28,6-3 3-6 6-1,Alejandro Davidovich Fokina
23-Jun-2025,Eastbourne,Grass,QF,Davidovich Fokina,28,Jakub Mensik,17.0,6-4 7-5,Alejandro Davidovich Fokina
23-Jun-2025,Eastbourne,Grass,R16,Davidovich Fokina,28,James Duckworth,106.0,6-7(3) 6-3 6-4,Alejandro Davidovich Fokina
23-Jun-2025,Eastbourne,Grass,R32,Davidovich Fokina,28,Chun Hsin Tseng,96.0,7-6(6) 6-2,Alejandro Davidovich Fokina
26-May-2025,Roland Garros,Clay,R64,Jiri Lehecka,34.0,Davidovich Fokina,29,6-3 3-6 6-1 6-2,Alejandro Davidovich Fokina
26-May-2025,Roland Garros,Clay,R128,Davidovich Fokina,29,Pablo Llamas Ruiz,872.0,6-3 6-2 6-7(4) 6-3,Alejandro Davidovich Fokina
18-May-2025,Hamburg,Clay,R16,Flavio Cobolli,35.0,Davidovich Fokina,26,6-4 7-5,Alejandro Davidovich Fokina
18-May-2025,Hamburg,Clay,R32,Davidovich Fokina,26,Gael Monfils,42.0,6-3 6-3,Alejandro Davidovich Fokina
7-May-2025,Rome Masters,Clay,R64,Jesper De Jong,93.0,Davidovich Fokina,26,6-0 6-2,Alejandro Davidovich Fokina
23-Apr-2025,Madrid Masters,Clay,R32,Alexander Zverev,2.0,Davidovich Fokina,29,2-6 7-6(3) 7-6(0),Alejandro Davidovich Fokina
23-Apr-2025,Madrid Masters,Clay,R64,Davidovich Fokina,29,Nuno Borges,41.0,6-2 6-3,Alejandro Davidovich Fokina
14-Apr-2025,Barcelona,Clay,QF,Karen Khachanov,27.0,Davidovich Fokina,30,6-4 7-5,Alejandro Davidovich Fokina
14-Apr-2025,Barcelona,Clay,R16,Davidovich Fokina,30,Andrey Rublev,8.0,7-5 6-4,Alejandro Davidovich Fokina
14-Apr-2025,Barcelona,Clay,R32,Davidovich Fokina,30,Stan Wawrinka,162.0,6-1 6-4,Alejandro Davidovich Fokina
30-Mar-2026,Houston,Clay,F,Tommy Paul,21,Roman Andres Burruchaga,77.0,6-1 3-6 7-5,Tommy Paul
30-Mar-2026,Houston,Clay,SF,Tommy Paul,21,Frances Tiafoe,18.0,7-5 4-6 7-6(7),Tommy Paul
30-Mar-2026,Houston,Clay,QF,Tommy Paul,21,Tomas Martin Etcheverry,31.0,6-4 6-2,Tommy Paul
30-Mar-2026,Houston,Clay,R16,Tommy Paul,21,Adolfo Daniel Vallejo,101.0,3-6 6-4 6-4,Tommy Paul
18-Mar-2026,Miami Masters,Hard,QF,Arthur Fils,31.0,Tommy Paul,23,6-7(3) 7-6(4) 7-6(6),Tommy Paul
18-Mar-2026,Miami Masters,Hard,R16,Tommy Paul,23,Tomas Martin Etcheverry,32.0,6-1 6-3,Tommy Paul
18-Mar-2026,Miami Masters,Hard,R32,Tommy Paul,23,Raphael Collignon,72.0,6-2 3-6 7-6(5),Tommy Paul
18-Mar-2026,Miami Masters,Hard,R64,Tommy Paul,23,Adrian Mannarino,43.0,6-2 2-6 6-4,Tommy Paul
4-Mar-2026,Indian Wells Masters,Hard,R32,Joao Fonseca,35.0,Tommy Paul,24,6-2 6-3,Tommy Paul
4-Mar-2026,Indian Wells Masters,Hard,R64,Tommy Paul,24,Zizou Bergs,47.0,6-1 6-2,Tommy Paul
16-Feb-2026,Delray Beach,Hard,F,Sebastian Korda,50.0,Tommy Paul,24,6-4 6-3,Tommy Paul
16-Feb-2026,Delray Beach,Hard,SF,Tommy Paul,24,Learner Tien,23.0,4-6 6-4 6-3,Tommy Paul
16-Feb-2026,Delray Beach,Hard,QF,Tommy Paul,24,Taylor Fritz,8.0,6-4 6-3,Tommy Paul
16-Feb-2026,Delray Beach,Hard,R16,Tommy Paul,24,Adam Walton,93.0,7-6(11) 6-3,Tommy Paul
16-Feb-2026,Delray Beach,Hard,R32,Tommy Paul,24,Corentin Moutet,34.0,4-6 6-3 6-4,Tommy Paul
9-Feb-2026,Dallas,Hard,R16,Miomir Kecmanovic,66.0,Tommy Paul,24,5-7 6-4 6-4,Tommy Paul
9-Feb-2026,Dallas,Hard,R32,Tommy Paul,24,Jenson Brooksby,45.0,4-6 6-4 7-6(4),Tommy Paul
7-Feb-2026,Davis Cup QLS R1: USA vs HUN,Clay,RR,Tommy Paul,22,Zsombor Piros,176.0,7-6(3) 6-3,Tommy Paul
19-Jan-2026,Australian Open,Hard,R16,Carlos Alcaraz,1.0,Tommy Paul,20,7-6(6) 6-4 7-5,Tommy Paul
19-Jan-2026,Australian Open,Hard,R32,Tommy Paul,20,Alejandro Davidovich Fokina,14.0,6-1 6-1 0-0 RET,Tommy Paul
19-Jan-2026,Australian Open,Hard,R64,Tommy Paul,20,Thiago Agustin Tirante,103.0,6-3 6-4 6-2,Tommy Paul
19-Jan-2026,Australian Open,Hard,R128,Tommy Paul,20,Aleksandar Kovacevic,56.0,6-4 6-3 6-3,Tommy Paul
12-Jan-2026,Adelaide,Hard,SF,Tomas Machac,35.0,Tommy Paul,21,2-6 6-3 6-3,Tommy Paul
12-Jan-2026,Adelaide,Hard,QF,Tommy Paul,21,Aleksandar Vukic,87.0,6-3 6-2,Tommy Paul
12-Jan-2026,Adelaide,Hard,R16,Tommy Paul,21,Reilly Opelka,62.0,6-4 6-4,Tommy Paul
4-Jan-2026,Brisbane,Hard,R32,Giovanni Mpetshi Perricard,67.0,Tommy Paul,20,7-6(2) 3-6 7-6(6),Tommy Paul
25-Aug-2025,US Open,Hard,R32,Alexander Bublik,24.0,Tommy Paul,14,7-6(5) 6-7(4) 6-3 6-7(5) 6-1,Tommy Paul
25-Aug-2025,US Open,Hard,R64,Tommy Paul,14,Nuno Borges,41.0,7-6(6) 6-3 5-7 5-7 7-5,Tommy Paul
25-Aug-2025,US Open,Hard,R128,Tommy Paul,14,Elmer Moller,109.0,6-3 6-3 6-1,Tommy Paul
7-Aug-2025,Cincinnati Masters,Hard,R32,Adrian Mannarino,89.0,Tommy Paul,16,5-7 6-3 6-4,Tommy Paul
7-Aug-2025,Cincinnati Masters,Hard,R64,Tommy Paul,16,Pedro Martinez,66.0,6-2 6-2,Tommy Paul
30-Jun-2025,Wimbledon,Grass,R64,Sebastian Ofner,165.0,Tommy Paul,13,1-6 7-5 6-4 7-5,Tommy Paul
30-Jun-2025,Wimbledon,Grass,R128,Tommy Paul,13,Johannus Monday,224.0,6-4 6-4 6-2,Tommy Paul
23-Jun-2025,Eastbourne,Grass,R16,Daniel Evans,170.0,Tommy Paul,13,6-4 3-6 6-3,Tommy Paul
26-May-2025,Roland Garros,Clay,QF,Carlos Alcaraz,2.0,Tommy Paul,12,6-0 6-1 6-4,Tommy Paul
26-May-2025,Roland Garros,Clay,R16,Tommy Paul,12,Alexei Popyrin,25.0,6-3 6-3 6-3,Tommy Paul
26-May-2025,Roland Garros,Clay,R32,Tommy Paul,12,Karen Khachanov,24.0,6-3 3-6 7-6(7) 3-6 6-3,Tommy Paul
26-May-2025,Roland Garros,Clay,R64,Tommy Paul,12,Marton Fucsovics,124.0,4-6 2-6 6-3 7-5 6-4,Tommy Paul
26-May-2025,Roland Garros,Clay,R128,Tommy Paul,12,Elmer Moller,112.0,6-7(5) 6-2 6-3 6-1,Tommy Paul
7-May-2025,Rome Masters,Clay,SF,Jannik Sinner,1.0,Tommy Paul,12,1-6 6-0 6-3,Tommy Paul
7-May-2025,Rome Masters,Clay,QF,Tommy Paul,12,Hubert Hurkacz,31.0,7-6(4) 6-3,Tommy Paul
7-May-2025,Rome Masters,Clay,R16,Tommy Paul,12,Alex De Minaur,8.0,7-5 6-3,Tommy Paul
7-May-2025,Rome Masters,Clay,R32,Tommy Paul,12,Tomas Machac,20.0,6-3 6-7(5) 6-4,Tommy Paul
7-May-2025,Rome Masters,Clay,R64,Tommy Paul,12,Roberto Bautista Agut,56.0,6-1 6-4,Tommy Paul
23-Apr-2025,Madrid Masters,Clay,R16,Jack Draper,6.0,Tommy Paul,12,6-2 6-2,Tommy Paul
23-Apr-2025,Madrid Masters,Clay,R32,Tommy Paul,12,Karen Khachanov,25.0,6-3 3-6 6-2,Tommy Paul
23-Apr-2025,Madrid Masters,Clay,R64,Tommy Paul,12,Joao Fonseca,65.0,7-6(7) 7-6(3),Tommy Paul
5-Apr-2026,Monte-Carlo,Clay,R32,Tomas Machac,53.0,Francisco Cerundolo,19,7-6(2) 6-3,Francisco Cerundolo
5-Apr-2026,Monte-Carlo,Clay,R64,Francisco Cerundolo,19,Stefanos Tsitsipas,48.0,7-5 6-4,Francisco Cerundolo
18-Mar-2026,Miami Masters,Hard,QF,Alexander Zverev,4.0,Francisco Cerundolo,19,6-1 6-2,Francisco Cerundolo
18-Mar-2026,Miami Masters,Hard,R16,Francisco Cerundolo,19,Ugo Humbert,34.0,6-4 6-3,Francisco Cerundolo
18-Mar-2026,Miami Masters,Hard,R32,Francisco Cerundolo,19,Daniil Medvedev,10.0,6-0 4-6 7-5,Francisco Cerundolo
18-Mar-2026,Miami Masters,Hard,R64,Francisco Cerundolo,19,Thiago Agustin Tirante,81.0,6-4 6-2,Francisco Cerundolo
4-Mar-2026,Indian Wells Masters,Hard,R32,Jack Draper,14.0,Francisco Cerundolo,20,6-1 7-5,Francisco Cerundolo
4-Mar-2026,Indian Wells Masters,Hard,R64,Francisco Cerundolo,20,Benjamin Bonzi,111.0,6-4 5-7 7-6(5),Francisco Cerundolo
23-Feb-2026,Santiago,Clay,SF,Yannick Hanfmann,81.0,Francisco Cerundolo,19,6-3 6-4,Francisco Cerundolo
23-Feb-2026,Santiago,Clay,QF,Francisco Cerundolo,19,Emilio Nava,79.0,6-1 6-1,Francisco Cerundolo
23-Feb-2026,Santiago,Clay,R16,Francisco Cerundolo,19,Elmer Moller,127.0,6-2 6-2,Francisco Cerundolo
